"candidate","year","state","office","district","stage","special","party","writein","first_name","last_name","candidatevotes","totalvotes"
"??Jim?? Stark",2012,"Louisiana","US House","3","gen",FALSE,"",FALSE,"??Jim??","Stark",3765,311393
"??Ron?? Ceasar",2012,"Louisiana","US House","5","gen",FALSE,"",FALSE,"??Ron??","Ceasar",37486,260216
"??Ron?? Richard",2012,"Louisiana","US House","3","gen",FALSE,"",FALSE,"??Ron??","Richard",67070,311393
"""Bill"" Jacobs",2002,"Louisiana","US House","4","gen",FALSE,"other",FALSE,"""Bill""","Jacobs",3104,160093
"""Bill"" Zeliff",1990,"New Hampshire","US House","1","gen",FALSE,"republican",FALSE,"""Bill""","Zeliff",81684,148368
"""Bobby"" Jindal",2004,"Louisiana","US House","1","gen",FALSE,"republican",FALSE,"""Bobby""","Jindal",225708,287897
"""Buddy"" Roemer",1984,"Louisiana","US House","4","gen",FALSE,"democrat",FALSE,"""Buddy""","Roemer",1,1
"""Charlie"" Melancon",2004,"Louisiana","US House","3","gen",FALSE,"democrat",FALSE,"""Charlie""","Melancon",57611,114653
"""Charlie"" Melancon",2010,"Louisiana","US Senate","Statewide","gen",FALSE,"democrat",FALSE,"""Charlie""","Melancon",476572,1264994
"""Dick"" Swett",1990,"New Hampshire","US House","2","gen",FALSE,"democrat",FALSE,"""Dick""","Swett",74866,142263
"""Ed"" Tarpley",2014,"Louisiana","US House","5","gen",FALSE,"republican",FALSE,"""Ed""","Tarpley",4594,326073
"""Greg"" Ellison",2016,"Louisiana","US House","3","gen",FALSE,"republican",FALSE,"""Greg""","Ellison",24882,282443
"""Gus"" Rantz",2016,"Louisiana","US House","3","gen",FALSE,"republican",FALSE,"""Gus""","Rantz",25662,282443
"""Jack"" Radosta",2010,"Louisiana","US House","2","gen",FALSE,"other",FALSE,"""Jack""","Radosta",645,129604
"""Jamie"" Mayo",2014,"Louisiana","US House","5","gen",FALSE,"democrat",FALSE,"""Jamie""","Mayo",75006,326073
"""Jay"" Patel",2008,"Louisiana","US Senate","statewide","gen",FALSE,"no party affiliation",FALSE,"""Jay""","Patel",13729,1896574
"""Jeff"" Landry",2010,"Louisiana","US House","3","gen",FALSE,"republican",FALSE,"""Jeff""","Landry",108963,170877
"""Jerry"" Huckaby",1982,"Louisiana","US House","5","gen",FALSE,"democrat",FALSE,"""Jerry""","Huckaby",1,1
"""Jerry"" Huckaby",1984,"Louisiana","US House","5","gen",FALSE,"democrat",FALSE,"""Jerry""","Huckaby",1,1
"""Jerry"" Watts",2004,"Louisiana","US House","1","gen",FALSE,"democrat",FALSE,"""Jerry""","Watts",10034,287897
"""Jim"" Donelon",1998,"Louisiana","US Senate","Statewide","gen",FALSE,"republican",FALSE,"""Jim""","Donelon",306616,969165
"""Jim"" Harlan",2008,"Louisiana","US House","1","gen",FALSE,"democrat",FALSE,"""Jim""","Harlan",98839,288007
"""Joseph"" Cao",2016,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"""Joseph""","Cao",21019,1997218
"""Ken"" Blevens",2006,"New Hampshire","US House","2","gen",FALSE,"libertarian",FALSE,"""Ken""","Blevens",3305,206292
"""Ken"" Blevens",2008,"New Hampshire","US Senate","statewide","gen",FALSE,"libertarian",FALSE,"""Ken""","Blevens",21516,694787
"""Mike"" Johnson",2016,"Louisiana","US House","4","gen",FALSE,"republican",FALSE,"""Mike""","Johnson",87370,268761
"""Mike"" Rogers",2004,"Louisiana","US House","1","gen",FALSE,"republican",FALSE,"""Mike""","Rogers",7975,287897
"""Rick"" John",2016,"Louisiana","US House","4","gen",FALSE,"republican",FALSE,"""Rick""","John",13220,268761
"""Rick"" Moscatello",2002,"Louisiana","US House","6","gen",FALSE,"other",FALSE,"""Rick""","Moscatello",27898,174830
"""Rob"" Maness",2014,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"""Rob""","Maness",202556,3523183
"""Rob"" Maness",2016,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"""Rob""","Maness",90856,1997218
"""Silky"" Sullivan",2002,"Louisiana","US House","2","gen",FALSE,"republican",FALSE,"""Silky""","Sullivan",15440,142156
"""Tom"" Gibbs, Jr.",2010,"Louisiana","US House","5","gen",FALSE,"no party",FALSE,"""Tom""","Jr.",33279,155312
"""Tony"" Perkins",2002,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"""Tony""","Perkins",119776,2481629
"""Trey"" Thomas",2014,"Louisiana","US House","6","gen",FALSE,"republican",FALSE,"""Trey""","Thomas",1447,332888
"""Zach"" Dasher",2014,"Louisiana","US House","5","gen",FALSE,"republican",FALSE,"""Zach""","Dasher",53628,326073
"A. D. (Andy) Allissandratos",1976,"Tennessee","US House","8","gen",FALSE,"republican",FALSE,"A.","Allissandratos",63819,165954
"A. G. Baddley",2010,"Mississippi","US House","1","gen",FALSE,"independent",FALSE,"A.","Baddley",1882,219093
"A. Peter Crane",1992,"Utah","US House","2","gen",FALSE,"independent",FALSE,"A.","Crane",6274,252969
"A. Stephen Dirks",1982,"Utah","US House","1","gen",FALSE,"democrat",FALSE,"A.","Dirks",66006,177422
"A. John Elliot",1994,"Rhode Island","US House","2","gen",FALSE,"republican",FALSE,"A.","Elliot",56348,176007
"A. 'Cecy' R. Groom",1998,"California","US House","39","gen",FALSE,"democrat",FALSE,"A.","Groom",52815,155465
"A. George Sweet III",1994,"Virginia","US House","4","gen",FALSE,"republican",FALSE,"A.","III",71678,186755
"A. A. Rayner, Jr.",1976,"Illinois","US House","1","gen",FALSE,"republican",FALSE,"A.","Jr.",10147,137193
"A. J. ""Joe"" Canada Jr.",1986,"Virginia","US House","2","gen",FALSE,"republican",FALSE,"A.","Jr.",46137,110169
"A. J. Killinsworth",1978,"Alabama","US Senate","statewide","gen",TRUE,"prohibition",FALSE,"A.","Killinsworth",5814,729842
"A. Charles Laws",1996,"Massachusetts","US House","10","gen",FALSE,"green",FALSE,"A.","Laws",10913,295923
"A. Charles Laws",2000,"Nevada","US House","2","gen",FALSE,"green",FALSE,"A.","Laws",5547,357418
"A. Donald McEachin",2016,"Virginia","US House","4","gen",FALSE,"democrat",FALSE,"A.","McEachin",200136,346656
"A. T. ""Art"" Narro",1992,"Virginia","US House","11","gen",FALSE,"independent",FALSE,"A.","Narro",6681,228272
"A. Petrakopoulos",2002,"Georgia","US House","8","gen",FALSE,"democrat",FALSE,"A.","Petrakopoulos",39422,181927
"A. E. ??Tracy?? Potts",2012,"Texas","US House","20","gen",FALSE,"libertarian",FALSE,"A.","Potts",3143,186177
"A. A. Rayner",1978,"Illinois","US House","1","gen",FALSE,"republican",FALSE,"A.","Rayner",33540,81279
"A. P. (Sandy) Sands",1994,"North Carolina","US House","5","gen",FALSE,"democrat",FALSE,"A.","Sands",63194,147935
"A. J. Sekhon",2006,"California","US House","2","gen",FALSE,"democrat",FALSE,"A.","Sekhon",68234,210202
"A. D. (Al) Shipley",1984,"Hawaii","US House","2","gen",FALSE,"republican",FALSE,"A.","Shipley",20000,136741
"A. J. ""Tony"" Zevgolis",1992,"Virginia","US House","4","gen",FALSE,"republican",FALSE,"A.","Zevgolis",68286,215960
"A.J. Killingsworth",1980,"Alabama","US House","4","gen",FALSE,"statesman",FALSE,"A.J.","Killingsworth",2721,132086
"Aage Nost",2000,"Arizona","US House","5","gen",FALSE,"libertarian",FALSE,"Aage","Nost",4049,287609
"Aaron I. Cohn",2010,"Texas","US House","15","gen",FALSE,"libertarian",FALSE,"Aaron","Cohn",2570,96080
"Aaron C. Davis",1990,"Tennessee","US House","9","gen",FALSE,"republican",FALSE,"Aaron","Davis",25730,83657
"Aaron Day",2016,"New Hampshire","US Senate","statewide","gen",FALSE,"independent",FALSE,"Aaron","Day",17742,739140
"Aaron DeLozier",2014,"Oklahoma","US Senate","statewide","gen",FALSE,"independent",FALSE,"Aaron","DeLozier",7793,820733
"Aaron Dixon",2006,"Washington","US Senate","statewide","gen",FALSE,"green",FALSE,"Aaron","Dixon",21254,2083734
"Aaron Walter Fraser",2016,"New Jersey","US House","10","gen",FALSE,"new beginning's",FALSE,"Aaron","Fraser",1746,222771
"Aaron Justice",2000,"New York","US House","16","gen",FALSE,"republican",FALSE,"Aaron","Justice",3943,140369
"Aaron M. Kromash",2000,"New Jersey","US House","3","gen",FALSE,"independent",FALSE,"Aaron","Kromash",2515,274083
"Aaron Mills",2008,"West Virginia","US House","2","gen",FALSE,"",TRUE,"Aaron","Mills",16,258169
"Aaron M. Schein",1978,"New York","US House","4","gen",FALSE,"liberal",FALSE,"Aaron","Schein",2083,143302
"Aaron Schock",2008,"Illinois","US House","18","gen",FALSE,"republican",FALSE,"Aaron","Schock",182589,310088
"Aaron Schock",2010,"Illinois","US House","18","gen",FALSE,"republican",FALSE,"Aaron","Schock",152868,221170
"Aaron Schock",2012,"Illinois","US House","18","gen",FALSE,"republican",FALSE,"Aaron","Schock",244467,329631
"Aaron Schock",2014,"Illinois","US House","18","gen",FALSE,"republican",FALSE,"Aaron","Schock",184363,246740
"Aaron Stuttman",2006,"Michigan","US House","8","gen",FALSE,"green",FALSE,"Aaron","Stuttman",2362,284471
"Aaron Stuttman",2008,"Michigan","US House","8","gen",FALSE,"green",FALSE,"Aaron","Stuttman",3836,361607
"Aaron G. Woolf",2014,"New York","US House","21","gen",FALSE,"democrat",FALSE,"Aaron","Woolf",59063,181558
"Aaron J. Zurbrugg",2012,"Ohio","US House","14","gen",FALSE,"",TRUE,"Aaron","Zurbrugg",20,339894
"Abaan Abu-Shumays",1996,"California","US House","16","gen",FALSE,"natural law",FALSE,"Abaan","Abu-Shumays",1866,143207
"Abel G. Collins",2012,"Rhode Island","US House","2","gen",FALSE,"independent",FALSE,"Abel","Collins",20212,222660
"Abel Maldonado",2012,"California","US House","24","gen",FALSE,"republican",FALSE,"Abel","Maldonado",127746,284495
"Abel J. Tapia",2014,"Colorado","US House","3","gen",FALSE,"democrat",FALSE,"Abel","Tapia",100364,281141
"Abel Noah Tomlinson",2008,"Arkansas","US House","3","gen",FALSE,"green",FALSE,"Abel","Tomlinson",58850,274046
"Abhay Patel",2016,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"Abhay","Patel",1576,1997218
"Abner J. Mikva",1976,"Illinois","US House","10","gen",FALSE,"democrat",FALSE,"Abner","Mikva",106804,213414
"Abner J. Mikva",1978,"Illinois","US House","10","gen",FALSE,"democrat",FALSE,"Abner","Mikva",89479,178309
"Abraha (Chick) Kazen, Jr.",1976,"Texas","US House","23","gen",FALSE,"democrat",FALSE,"Abraha","Jr.",96481,96481
"Abraham J. Gutmann",1996,"New Mexico","US Senate","statewide","gen",FALSE,"green",FALSE,"Abraham","Gutmann",24230,551821
"Abraham J. Hirschfeld",1992,"New York","US House","14","gen",FALSE,"independent fusion",FALSE,"Abraham","Hirschfeld",2970,238720
"Abraham Hirschfeld",2004,"New York","US Senate","Statewide","gen",FALSE,"builders",FALSE,"Abraham","Hirschfeld",16196,7447818
"Abraham Kazen Jr.",1978,"Texas","US House","23","gen",FALSE,"democrat",FALSE,"Abraham","Jr.",62649,69834
"Abraham ""Chick"" Kazen Jr.",1980,"Texas","US House","23","gen",FALSE,"democrat",FALSE,"Abraham","Jr.",104595,149780
"Abraham (Chick) Kazen, Jr.",1982,"Texas","US House","23","gen",FALSE,"democrat",FALSE,"Abraham","Jr.",51690,93528
"Ada E. Deer",1992,"Wisconsin","US House","2","gen",FALSE,"democrat",FALSE,"Ada","Deer",108291,292898
"Ada M. Fisher",2004,"North Carolina","US House","12","gen",FALSE,"republican",FALSE,"Ada","Fisher",76898,231806
"Ada M. Fisher",2006,"North Carolina","US House","12","gen",FALSE,"republican",FALSE,"Ada","Fisher",35127,106472
"Ada Grenado",1996,"Texas","US House","30","pri",TRUE,"independent",FALSE,"Ada","Grenado",1278,113072
"Adam P. Bell",2016,"Texas","US House","3","gen",FALSE,"democrat",FALSE,"Adam","Bell",109420,316467
"Adam M. Cook",2012,"Virginia","US House","1","gen",FALSE,"democrat",FALSE,"Adam","Cook",147036,356806
"Adam Goodman",2006,"Michigan","US House","9","gen",FALSE,"libertarian",FALSE,"Adam","Goodman",3702,276180
"Adam Goodman",2008,"Michigan","US House","9","gen",FALSE,"libertarian",FALSE,"Adam","Goodman",4893,351963
"Adam Goodman",2010,"Michigan","US House","9","gen",FALSE,"libertarian",FALSE,"Adam","Goodman",2601,252650
"Adam Gussen",2012,"New Jersey","US House","5","gen",FALSE,"democrat",FALSE,"Adam","Gussen",130100,304371
"Adam Hand",1980,"Alabama","US House","2","gen",FALSE,"libertarian",FALSE,"Adam","Hand",4103,172962
"Adam Hasner",2012,"Florida","US House","22","gen",FALSE,"republican",FALSE,"Adam","Hasner",142050,313071
"Adam Benjamin, Jr.",1976,"Indiana","US House","1","gen",FALSE,"democrat",FALSE,"Adam","Jr.",121155,169911
"Adam Benjamin Jr.",1978,"Indiana","US House","1","gen",FALSE,"democrat",FALSE,"Adam","Jr.",72367,90170
"Adam Benjamin Jr.",1980,"Indiana","US House","1","gen",FALSE,"democrat",FALSE,"Adam","Jr.",112016,155553
"Adam D. Katz",2000,"Colorado","US House","6","gen",FALSE,"libertarian",FALSE,"Adam","Katz",6885,262477
"Adam D. Katz",2002,"Colorado","US House","6","gen",FALSE,"libertarian",FALSE,"Adam","Katz",7323,237501
"Adam Kinzinger",2010,"Illinois","US House","11","gen",FALSE,"republican",FALSE,"Adam","Kinzinger",129108,225127
"Adam Kinzinger",2012,"Illinois","US House","16","gen",FALSE,"republican",FALSE,"Adam","Kinzinger",181789,294090
"Adam Kinzinger",2014,"Illinois","US House","16","gen",FALSE,"republican",FALSE,"Adam","Kinzinger",153388,217198
"Adam Kinzinger",2016,"Illinois","US House","16","gen",FALSE,"republican",FALSE,"Adam","Kinzinger",259722,259853
"Adam A. Lang",2008,"Pennsylvania","US House","2","gen",FALSE,"republican",FALSE,"Adam","Lang",34466,311336
"Adam K. Levin",1982,"New Jersey","US House","7","gen",FALSE,"democrat",FALSE,"Adam","Levin",70978,164109
"Adam Clay Miller",1998,"Ohio","US House","15","gen",FALSE,"democrat",FALSE,"Adam","Miller",49334,173176
"Adam Nick",2014,"California","US House","46","gen",FALSE,"republican",FALSE,"Adam","Nick",33577,83315
"Adam H. Putnam",2000,"Florida","US House","12","gen",FALSE,"republican",FALSE,"Adam","Putnam",125224,219625
"Adam H. Putnam",2002,"Florida","US House","12","gen",FALSE,"republican",FALSE,"Adam","Putnam",1,1
"Adam H. Putnam",2004,"Florida","US House","12","gen",FALSE,"republican",FALSE,"Adam","Putnam",179204,276169
"Adam H. Putnam",2006,"Florida","US House","12","gen",FALSE,"republican",FALSE,"Adam","Putnam",124452,180064
"Adam H. Putnam",2008,"Florida","US House","12","gen",FALSE,"republican",FALSE,"Adam","Putnam",185698,323163
"Adam B. Schiff",2000,"California","US House","27","gen",FALSE,"democrat",FALSE,"Adam","Schiff",113708,215774
"Adam B. Schiff",2002,"California","US House","29","gen",FALSE,"democrat",FALSE,"Adam","Schiff",76036,121541
"Adam B. Schiff",2004,"California","US House","29","gen",FALSE,"democrat",FALSE,"Adam","Schiff",133670,206832
"Adam B. Schiff",2006,"California","US House","29","gen",FALSE,"democrat",FALSE,"Adam","Schiff",91014,143389
"Adam B. Schiff",2008,"California","US House","29","gen",FALSE,"democrat",FALSE,"Adam","Schiff",146198,212144
"Adam B. Schiff",2010,"California","US House","29","gen",FALSE,"democrat",FALSE,"Adam","Schiff",104374,161126
"Adam B. Schiff",2012,"California","US House","28","gen",FALSE,"democrat",FALSE,"Adam","Schiff",188703,246711
"Adam B. Schiff",2014,"California","US House","28","gen",FALSE,"democrat",FALSE,"Adam","Schiff",91996,120264
"Adam B. Schiff",2016,"California","US House","28","gen",FALSE,"democrat",FALSE,"Adam","Schiff",210883,270409
"Adam Shbeita",2014,"California","US House","44","gen",FALSE,"peace and freedom",FALSE,"Adam","Shbeita",9192,68862
"Adam Smith",1996,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",105236,209867
"Adam Smith",1998,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",111948,173056
"Adam Smith",2000,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",135452,219623
"Adam Smith",2002,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",95805,163710
"Adam Smith",2004,"Kentucky","US House","2","gen",FALSE,"democrat",FALSE,"Adam","Smith",87585,272979
"Adam Smith",2004,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",162433,256671
"Adam Smith",2006,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",119038,181120
"Adam Smith",2008,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",176295,269375
"Adam Smith",2010,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",123743,225594
"Adam Smith",2012,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",192034,268139
"Adam Smith",2014,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",118132,166794
"Adam Smith",2016,"Washington","US House","9","gen",FALSE,"democrat",FALSE,"Adam","Smith",205165,281482
"Adam Sparks",2000,"California","US House","8","gen",FALSE,"republican",FALSE,"Adam","Sparks",25298,215428
"Adam Steele",2012,"Minnesota","US House","7","gen",FALSE,"independence",FALSE,"Adam","Steele",15298,327576
"Adam Straus",1988,"Florida","US Senate","statewide","gen",FALSE,"",TRUE,"Adam","Straus",585,4068209
"Adam Van Susteren",2004,"California","US House","53","gen",FALSE,"libertarian",FALSE,"Adam","Susteren",3567,221436
"Adam Taff",2002,"Kansas","US House","3","gen",FALSE,"republican",FALSE,"Adam","Taff",102882,219389
"Addison S. Gilbert III",1986,"Florida","US House","13","gen",FALSE,"democrat",FALSE,"Addison","III",62709,250555
"Adele M. Cannon",2006,"California","US House","30","gen",FALSE,"peace and freedom",FALSE,"Adele","Cannon",4546,211734
"Adele Flateau",1976,"New York","US House","14","gen",FALSE,"workers",FALSE,"Adele","Flateau",213,65591
"Adele Frisch",1980,"New Jersey","US House","2","gen",FALSE,"socialist labor",FALSE,"Adele","Frisch",939,235710
"Adele Fumino",1978,"California","US House","12","gen",FALSE,"peace and freedom",FALSE,"Adele","Fumino",3022,160085
"Adele Fumino",1980,"California","US House","12","gen",FALSE,"peace and freedom",FALSE,"Adele","Fumino",3184,199083
"Adelle R. Nathanson",1988,"New York","US Senate","statewide","gen",FALSE,"right to life",FALSE,"Adelle","Nathanson",64845,6040980
"Adolf L. Gundersen",1976,"Wisconsin","US House","3","gen",FALSE,"republican",FALSE,"Adolf","Gundersen",100218,239311
"Adrian Banks",2000,"South Carolina","US House","3","gen",FALSE,"libertarian",FALSE,"Adrian","Banks",3116,221621
"Adrian DeLeon",2006,"Texas","US House","23","",TRUE,"democrat",FALSE,"Adrian","DeLeon",2198,123799
"Adrian C. Fonde",1982,"California","US House","18","gen",FALSE,"republican",FALSE,"Adrian","Fonde",59664,155927
"Adrian M. Montague",2016,"Tennessee","US House","8","gen",FALSE,"independent",FALSE,"Adrian","Montague",2497,282733
"Adrian Petrus",2016,"Maryland","US House","4","gen",FALSE,"democrat",TRUE,"Adrian","Petrus",18,320650
"Adrian Smith",2006,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Adrian","Smith",113687,206733
"Adrian Smith",2008,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Adrian","Smith",183117,238204
"Adrian Smith",2010,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Adrian","Smith",117275,167243
"Adrian Smith",2012,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Adrian","Smith",187423,252689
"Adrian Smith",2014,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Adrian","Smith",139440,184964
"Adrian Smith",2016,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Adrian","Smith",226720,226720
"Adriano Espaillat",2016,"New York","US House","13","gen",FALSE,"democrat",FALSE,"Adriano","Espaillat",207194,255239
"Adrienne Benjamin",1982,"West Virginia","US House","3","gen",FALSE,"socialist workers",FALSE,"Adrienne","Benjamin",787,146250
"Adrienne Nicole Edwards",2014,"California","US House","34","gen",FALSE,"democrat",FALSE,"Adrienne","Edwards",16924,61621
"Adrienne Nicole Edwards",2016,"California","US House","34","gen",FALSE,"democrat",FALSE,"Adrienne","Edwards",36314,159156
"Adrienne Pelton",1998,"California","US House","52","gen",FALSE,"natural law",FALSE,"Adrienne","Pelton",15380,153564
"Aelea Christofferson",2014,"Oregon","US House","2","gen",FALSE,"democrat",FALSE,"Aelea","Christofferson",73785,287425
"Agha Khan",2016,"New Jersey","US House","8","gen",FALSE,"republican",FALSE,"Agha","Khan",32337,174889
"Agnes A. James",1992,"New Jersey","US House","4","gen",FALSE,"conservative",FALSE,"Agnes","James",1630,241225
"Agnes A. James",1996,"New Jersey","US House","3","gen",FALSE,"independent",FALSE,"Agnes","James",1355,245278
"Agnes A. James",1998,"New Jersey","US House","11","gen",FALSE,"indepdendent",FALSE,"Agnes","James",1409,148971
"Agnes Marie Regier",1996,"Oklahoma","US Senate","statewide","gen",FALSE,"libertarian",FALSE,"Agnes","Regier",14595,1183150
"Agustin Mata",1978,"Texas","US House","23","gen",FALSE,"la raza unida",FALSE,"Agustin","Mata",7185,69834
"Ahmad Hassan",2006,"Texas","US House","18","gen",FALSE,"republican",FALSE,"Ahmad","Hassan",16448,86051
"Aimee Belgard",2014,"New Jersey","US House","3","gen",FALSE,"democrat",FALSE,"Aimee","Belgard",82537,186103
"Aimee Smith",2006,"Michigan","US House","15","gen",FALSE,"green",FALSE,"Aimee","Smith",9447,206868
"Aimee Smith",2008,"Michigan","US House","15","gen",FALSE,"green",FALSE,"Aimee","Smith",7082,327827
"Aimee Smith",2010,"Michigan","US House","15","gen",FALSE,"green",FALSE,"Aimee","Smith",2686,208309
"Al Beverly",1990,"Georgia","US House","7","gen",FALSE,"republican",FALSE,"Al","Beverly",63588,159405
"Al Beverly",1992,"Georgia","US House","7","gen",FALSE,"republican",FALSE,"Al","Beverly",82915,194289
"Al Borgman",1990,"Tennessee","US House","5","gen",FALSE,"independent",FALSE,"Al","Borgman",5383,76760
"Al Bremer",1982,"Iowa","US House","6","gen",FALSE,"republican",FALSE,"Al","Bremer",56487,158184
"Al Brown",1990,"Kentucky","US House","3","gen",FALSE,"republican",FALSE,"Al","Brown",55188,139938
"Al Cardenas",1978,"Florida","US House","14","gen",FALSE,"republican",FALSE,"Al","Cardenas",38081,103283
"Al Coogler",1980,"Florida","US House","11","gen",FALSE,"republican",FALSE,"Al","Coogler",137520,339233
"Al Cox",2002,"Indiana","US House","9","gen",FALSE,"libertarian",FALSE,"Al","Cox",2389,188957
"Al Cox",2004,"Indiana","US House","9","gen",FALSE,"libertarian",FALSE,"Al","Cox",4541,287510
"Al Cuperus",2002,"California","US House","38","gen",FALSE,"libertarian",FALSE,"Al","Cuperus",2301,88027
"Al DeShazo",1986,"Alabama","US House","4","gen",FALSE,"republican",FALSE,"Al","DeShazo",38588,171469
"Al Franken",2008,"Minnesota","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Al","Franken",1212629,2887646
"Al Franken",2014,"Minnesota","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Al","Franken",1053205,1981528
"Al Green",2004,"Texas","US House","9","gen",FALSE,"democrat",FALSE,"Al","Green",114462,158566
"Al Green",2006,"Texas","US House","9","gen",FALSE,"democrat",FALSE,"Al","Green",60253,60253
"Al Green",2008,"Texas","US House","9","gen",FALSE,"democrat",FALSE,"Al","Green",143868,153628
"Al Green",2010,"Texas","US House","9","gen",FALSE,"democrat",FALSE,"Al","Green",80107,105767
"Al Green",2012,"Texas","US House","9","gen",FALSE,"democrat",FALSE,"Al","Green",144075,183566
"Al Green",2014,"Texas","US House","9","gen",FALSE,"democrat",FALSE,"Al","Green",78109,86003
"Al Green",2016,"Texas","US House","9","gen",FALSE,"democrat",FALSE,"Al","Green",152032,188523
"Al Hamburg",1988,"Wyoming","US House","0","gen",FALSE,"new alliance",FALSE,"Al","Hamburg",868,177651
"Al Hardwick",2016,"Michigan","US House","5","gen",FALSE,"republican",FALSE,"Al","Hardwick",112102,319291
"Al Hawkins",1988,"Ohio","US House","9","gen",FALSE,"republican",FALSE,"Al","Hawkins",36183,193812
"Al Hinkle",1982,"California","US House","13","gen",FALSE,"libertarian",FALSE,"Al","Hinkle",4553,168164
"Al C. Weed II",2004,"Virginia","US House","5","gen",FALSE,"democrat",FALSE,"Al","II",98237,270758
"Al C. Weed II",2006,"Virginia","US House","5","gen",FALSE,"democrat",FALSE,"Al","II",84682,212079
"Al Gore, Jr.",1982,"Tennessee","US House","6","gen",FALSE,"democrat",FALSE,"Al","Jr.",104094,104105
"Al Chia Jr.",2002,"Michigan","US House","4","gen",FALSE,"libertarian",FALSE,"Al","Jr.",1272,218573
"Al King",2004,"Oregon","US Senate","Statewide","gen",FALSE,"republican",FALSE,"Al","King",565254,1780550
"Al Krulick",1996,"Florida","US House","8","gen",FALSE,"democrat",FALSE,"Al","Krulick",65794,202326
"Al Krulick",1998,"Florida","US House","8","gen",FALSE,"democrat",FALSE,"Al","Krulick",54245,158575
"Al Krulick",2014,"Florida","US House","7","gen",FALSE,"no party affiliation",FALSE,"Al","Krulick",9679,227164
"Al Lawson",2012,"Florida","US House","2","gen",FALSE,"democrat",FALSE,"Al","Lawson",157634,333718
"Al Lawson",2016,"Florida","US House","5","gen",FALSE,"democrat",FALSE,"Al","Lawson",194549,302874
"Al Lindsay",1986,"Pennsylvania","US House","4","gen",FALSE,"republican",FALSE,"Al","Lindsay",55165,142594
"Al Lindskoog",1996,"Wisconsin","US House","6","gen",FALSE,"democrat",FALSE,"Al","Lindskoog",55377,231719
"Al McAffrey",2014,"Oklahoma","US House","5","gen",FALSE,"democrat",FALSE,"Al","McAffrey",57790,159133
"Al McAffrey",2016,"Oklahoma","US House","5","gen",FALSE,"democrat",FALSE,"Al","McAffrey",103273,280570
"Al McCandless",1982,"California","US House","37","gen",FALSE,"republican",FALSE,"Al","McCandless",105065,177872
"Al McCandless",1984,"California","US House","37","gen",FALSE,"republican",FALSE,"Al","McCandless",149955,235863
"Al McCandless",1986,"California","US House","37","gen",FALSE,"republican",FALSE,"Al","McCandless",122416,192224
"Al McCandless",1988,"California","US House","37","gen",FALSE,"republican",FALSE,"Al","McCandless",174284,271242
"Al Ritter",1992,"Oregon","US House","3","gen",FALSE,"republican",FALSE,"Al","Ritter",50235,269879
"Al Salvi",1986,"Illinois","US House","19","gen",FALSE,"republican",FALSE,"Al","Salvi",56186,167291
"Al Salvi",1996,"Illinois","US Senate","statewide","gen",FALSE,"republican",FALSE,"Al","Salvi",1728824,4250722
"Al J. K. Siegmund",1996,"Texas","US House","7","pri",TRUE,"democrat",FALSE,"Al","Siegmund",28187,186831
"Al Simpson",1984,"Wyoming","US Senate","statewide","gen",FALSE,"republican",FALSE,"Al","Simpson",146373,186898
"Al Smith",1990,"Connecticut","US House","4","gen",FALSE,"democrat",FALSE,"Al","Smith",32352,138068
"Al Smith",1992,"Connecticut","US House","4","gen",FALSE,"a connecticut party",FALSE,"Al","Smith",11679,219615
"Al Swift",1980,"Washington","US House","2","gen",FALSE,"democrat",FALSE,"Al","Swift",162002,253688
"Al Swift",1982,"Washington","US House","2","gen",FALSE,"democrat",FALSE,"Al","Swift",101383,170005
"Al Swift",1984,"Washington","US House","2","gen",FALSE,"democrat",FALSE,"Al","Swift",142065,242392
"Al Swift",1986,"Washington","US House","2","gen",FALSE,"democrat",FALSE,"Al","Swift",124840,172917
"Al Swift",1988,"Washington","US House","2","gen",FALSE,"democrat",FALSE,"Al","Swift",175191,175191
