"candidate","year","state","office","district","stage","special","party","writein","first_name","last_name","candidatevotes","totalvotes"
"Beverly Kennedy",1996,"Florida","US House","19","gen",FALSE,"republican",FALSE,"Beverly","Kennedy",99101,287867
"Beverly Kidder",1998,"New Jersey","US House","12","gen",FALSE,"independent",FALSE,"Beverly","Kidder",749,184610
"Bhagwan Dashairya",2008,"Michigan","US House","11","gen",FALSE,"",TRUE,"Bhagwan","Dashairya",23,345182
"Bhagwan Dashairya",2010,"Michigan","US House","8","gen",FALSE,"libertarian",FALSE,"Bhagwan","Dashairya",3881,244894
"Bhagwan Dashairya",2012,"Michigan","US House","10","gen",FALSE,"libertarian",FALSE,"Bhagwan","Dashairya",4803,328612
"Bhagwan Dashairya",2014,"Michigan","US House","12","gen",FALSE,"libertarian",FALSE,"Bhagwan","Dashairya",2559,206660
"Biff Baker",2002,"Colorado","US House","5","gen",FALSE,"libertarian",FALSE,"Biff","Baker",10972,184677
"Bil McCollum",1980,"Florida","US House","5","gen",FALSE,"republican",FALSE,"Bil","McCollum",177603,318506
"Bill Abatecola",2016,"Arizona","US House","3","gen",FALSE,"republican",TRUE,"Bill","Abatecola",1303,151035
"Bill Abbott",2002,"Indiana","US House","4","gen",FALSE,"democrat",FALSE,"Bill","Abbott",41314,158008
"Bill Alexander",1976,"Arkansas","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Alexander",116217,168782
"Bill Alexander",1978,"Arkansas","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Alexander",1,1
"Bill Alexander",1980,"Arkansas","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Alexander",1,1
"Bill Alexander",1982,"Arkansas","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Alexander",124208,191635
"Bill Alexander",1984,"Arkansas","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Alexander",121047,124528
"Bill Alexander",1986,"Arkansas","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Alexander",105782,164719
"Bill Alexander",1988,"Arkansas","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Alexander",1,1
"Bill Alexander",1990,"Arkansas","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Alexander",101026,157097
"Bill Andersen",1988,"Tennessee","US Senate","statewide","gen",FALSE,"republican",FALSE,"Bill","Andersen",541033,1567181
"Bill Anderson",1984,"California","US House","16","gen",FALSE,"libertarian",FALSE,"Bill","Anderson",3245,216687
"Bill Anderson",1986,"California","US House","16","gen",FALSE,"libertarian",FALSE,"Bill","Anderson",1944,163498
"Bill Archer",1976,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",193127,193127
"Bill Archer",1978,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",128214,150629
"Bill Archer",1980,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",242810,295684
"Bill Archer",1982,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",108718,127922
"Bill Archer",1984,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",213480,246315
"Bill Archer",1986,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",129673,148395
"Bill Archer",1988,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",185203,234027
"Bill Archer",1990,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",114254,114254
"Bill Archer",1992,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",169407,169407
"Bill Archer",1996,"Texas","US House","7","pri",TRUE,"republican",FALSE,"Bill","Archer",152024,186831
"Bill Archer",1998,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Archer",111010,118946
"Bill Arher",1994,"Texas","US House","7","gen",FALSE,"republican",FALSE,"Bill","Arher",116873,116873
"Bill Arndt",2002,"Wisconsin","US House","3","gen",FALSE,"republican",FALSE,"Bill","Arndt",69955,208581
"Bill Ashe",1986,"Michigan","US House","1","gen",FALSE,"republican",FALSE,"Bill","Ashe",10407,105784
"Bill Ashe",1988,"Michigan","US House","1","gen",FALSE,"republican",FALSE,"Bill","Ashe",10979,140138
"Bill Auer",1994,"New Jersey","US House","5","gen",FALSE,"democrat",FALSE,"Bill","Auer",41275,188505
"Bill Auer",1996,"New Jersey","US House","5","gen",FALSE,"democrat",FALSE,"Bill","Auer",62956,254333
"Bill Bailey",2014,"Indiana","US House","9","gen",FALSE,"democrat",FALSE,"Bill","Bailey",55016,163387
"Bill Baird",1994,"Texas","US House","6","gen",FALSE,"libertarian",FALSE,"Bill","Baird",4688,201012
"Bill Baker",1978,"Missouri","US House","4","gen",FALSE,"republican",FALSE,"Bill","Baker",45116,165864
"Bill Baker",1980,"Missouri","US House","4","gen",FALSE,"republican",FALSE,"Bill","Baker",71869,223328
"Bill Baker",1992,"California","US House","10","gen",FALSE,"republican",FALSE,"Bill","Baker",145702,280429
"Bill Baker",1994,"California","US House","10","gen",FALSE,"republican",FALSE,"Bill","Baker",138916,234241
"Bill Baker",1996,"California","US House","10","gen",FALSE,"republican",FALSE,"Bill","Baker",133633,283183
"Bill Barenholtz",2000,"Arizona","US House","2","gen",FALSE,"republican",FALSE,"Bill","Barenholtz",32990,122605
"Bill Barrett",1990,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Bill","Barrett",98607,192944
"Bill Barrett",1992,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Bill","Barrett",170857,238355
"Bill Barrett",1994,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Bill","Barrett",154919,196903
"Bill Barrett",1996,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Bill","Barrett",167758,216591
"Bill Barrett",1998,"Nebraska","US House","3","gen",FALSE,"republican",FALSE,"Bill","Barrett",149896,177729
"Bill Barron",2012,"Utah","US Senate","statewide","gen",FALSE,"none",FALSE,"Bill","Barron",7172,1006901
"Bill Barron",2014,"Utah","US House","2","gen",FALSE,"unaffiliated",FALSE,"Bill","Barron",1734,146188
"Bill Barron",2016,"Utah","US Senate","statewide","gen",FALSE,"none",FALSE,"Bill","Barron",26166,1115583
"Bill Benet",1982,"New York","US House","30","gen",FALSE,"democrat",FALSE,"Bill","Benet",48764,174620
"Bill Bernstein",2004,"Texas","US House","5","gen",FALSE,"democrat",FALSE,"Bill","Bernstein",75911,230845
"Bill Bledsoe",2016,"South Carolina","US Senate","statewide","gen",FALSE,"libertarian",FALSE,"Bill","Bledsoe",37482,2049893
"Bill Bloomfield",2012,"California","US House","33","gen",FALSE,"none",FALSE,"Bill","Bloomfield",146660,318520
"Bill Blue",1984,"Missouri","US House","8","gen",FALSE,"democrat",FALSE,"Bill","Blue",70922,205108
"Bill Boerum",1990,"California","US House","6","gen",FALSE,"republican",FALSE,"Bill","Boerum",64402,201708
"Bill Boner",1980,"Tennessee","US House","5","gen",FALSE,"democrat",FALSE,"Bill","Boner",118506,181262
"Bill Boner",1982,"Tennessee","US House","5","gen",FALSE,"democrat",FALSE,"Bill","Boner",109282,136349
"Bill Boner",1984,"Tennessee","US House","5","gen",FALSE,"democrat",FALSE,"Bill","Boner",138233,138286
"Bill Boner",1986,"Tennessee","US House","5","gen",FALSE,"democrat",FALSE,"Bill","Boner",85126,147147
"Bill Bowlin",1990,"Mississippi","US House","1","gen",FALSE,"republican",FALSE,"Bill","Bowlin",23650,67318
"Bill Bradbury",2002,"Oregon","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Bill","Bradbury",501898,1267221
"Bill Bradley",1978,"New Jersey","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Bill","Bradley",1082960,1957515
"Bill Bradley",1984,"New Jersey","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Bill","Bradley",1986644,3096456
"Bill Bradley",1990,"New Jersey","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Bill","Bradley",977810,1938454
"Bill Bradshaw",2016,"Texas","US House","12","gen",FALSE,"democrat",FALSE,"Bill","Bradshaw",76029,283115
"Bill K. Brewster",1990,"Oklahoma","US House","3","gen",FALSE,"democrat",FALSE,"Bill","Brewster",107641,133902
"Bill K. Brewster",1992,"Oklahoma","US House","3","gen",FALSE,"democrat",FALSE,"Bill","Brewster",155934,207659
"Bill K. Brewster",1994,"Oklahoma","US House","3","gen",FALSE,"democrat",FALSE,"Bill","Brewster",115731,156878
"Bill Brock",1976,"Tennessee","US Senate","statewide","gen",FALSE,"republican",FALSE,"Bill","Brock",673231,1432046
"Bill Bronson",1984,"Georgia","US House","7","gen",FALSE,"republican",FALSE,"Bill","Bronson",86431,193020
"Bill Brown",1994,"California","US House","23","gen",FALSE,"libertarian",FALSE,"Bill","Brown",6481,172340
"Bill Buckel",1994,"Ohio","US House","15","gen",FALSE,"democrat",FALSE,"Bill","Buckel",46480,159696
"Bill Buckel",2000,"Ohio","US House","15","gen",FALSE,"democrat",FALSE,"Bill","Buckel",64805,232297
"Bill Buckel",2006,"Ohio","US House","15","gen",FALSE,"none",TRUE,"Bill","Buckel",194,220567
"Bill Buckel",2010,"Ohio","US House","15","gen",FALSE,"",TRUE,"Bill","Buckel",45,220596
"Bill D. Burlison",1976,"Missouri","US House","10","gen",FALSE,"democrat",FALSE,"Bill","Burlison",131675,182699
"Bill D. Burlison",1978,"Missouri","US House","10","gen",FALSE,"democrat",FALSE,"Bill","Burlison",99148,151835
"Bill D. Burlison",1980,"Missouri","US House","10","gen",FALSE,"democrat",FALSE,"Bill","Burlison",94465,210632
"Bill Cabaniss",1990,"Alabama","US Senate","statewide","gen",FALSE,"republican",FALSE,"Bill","Cabaniss",467190,1185154
"Bill Callison",2008,"California","US House","7","gen",FALSE,"peace and freedom",FALSE,"Bill","Callison",6695,234773
"Bill Campbell",1992,"New Jersey","US House","7","gen",FALSE,"no nonsense government",FALSE,"Bill","Campbell",2612,248082
"Bill Cassidy",2010,"Louisiana","US House","6","gen",FALSE,"republican",FALSE,"Bill","Cassidy",138607,211184
"Bill Cassidy",2012,"Louisiana","US House","6","gen",FALSE,"",FALSE,"Bill","Cassidy",243553,306713
"Bill Cassidy",2014,"Louisiana","US Senate","statewide","gen",FALSE,"republican",FALSE,"Bill","Cassidy",1712379,3523183
"Bill Caster",1996,"North Carolina","US House","7","gen",FALSE,"republican",FALSE,"Bill","Caster",75811,165440
"Bill Chappell",1980,"Florida","US House","4","gen",FALSE,"democrat",FALSE,"Bill","Chappell",147775,224699
"Bill Chappell",1982,"Florida","US House","4","gen",FALSE,"democrat",FALSE,"Bill","Chappell",83895,125352
"Bill Chappell",1984,"Florida","US House","4","gen",FALSE,"democrat",FALSE,"Bill","Chappell",134694,207912
"Bill Chappell",1986,"Florida","US House","4","gen",FALSE,"democrat",FALSE,"Bill","Chappell",1,1
"Bill Chappell",1988,"Florida","US House","4","gen",FALSE,"democrat",FALSE,"Bill","Chappell",124817,250425
"Bill Chertok",1994,"Pennsylvania","US House","16","gen",FALSE,"democrat",FALSE,"Bill","Chertok",47680,157455
"Bill Choby",1994,"Pennsylvania","US House","12","gen",FALSE,"republican",FALSE,"Bill","Choby",53147,171005
"Bill Choby",1996,"Pennsylvania","US House","12","gen",FALSE,"republican",FALSE,"Bill","Choby",58643,195481
"Bill Choby",2000,"Pennsylvania","US House","12","gen",FALSE,"republican",FALSE,"Bill","Choby",56575,205437
"Bill Choby",2002,"Pennsylvania","US House","12","gen",FALSE,"republican",FALSE,"Bill","Choby",44818,169028
"Bill Clark",1980,"Arkansas","US Senate","statewide","gen",FALSE,"republican",FALSE,"Bill","Clark",330576,808812
"Bill Clinger",1980,"Pennsylvania","US House","23","gen",FALSE,"republican",FALSE,"Bill","Clinger",122855,167046
"Bill Clinger",1982,"Pennsylvania","US House","23","gen",FALSE,"republican",FALSE,"Bill","Clinger",92424,141721
"Bill Clinger",1984,"Pennsylvania","US House","23","gen",FALSE,"republican",FALSE,"Bill","Clinger",94952,183909
"Bill Clinger",1986,"Pennsylvania","US House","23","gen",FALSE,"republican",FALSE,"Bill","Clinger",79595,143470
"Bill Collins",2010,"Texas","US House","16","gen",FALSE,"libertarian",FALSE,"Bill","Collins",4319,84892
"Bill Conner",2010,"Ohio","US House","7","gen",FALSE,"democrat",FALSE,"Bill","Conner",70400,218313
"Bill Conrad",1996,"California","US House","18","gen",FALSE,"republican",FALSE,"Bill","Conrad",52695,165586
"Bill Cook",1998,"New York","US House","27","gen",FALSE,"democrat",FALSE,"Bill","Cook",75978,206152
"Bill Crook",2010,"Tennessee","US House","5","gen",FALSE,"independent",FALSE,"Bill","Crook",391,176362
"Bill Currie",1986,"Idaho","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Currie",59723,185124
"Bill Davenport",1976,"Alabama","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Davenport",58906,157170
"Bill Dew",2008,"Utah","US House","2","gen",FALSE,"republican",FALSE,"Bill","Dew",120083,348325
"Bill DeWitt",1990,"California","US House","29","gen",FALSE,"republican",FALSE,"Bill","DeWitt",12054,64672
"Bill Dickinson",1980,"Alabama","US House","2","gen",FALSE,"republican",FALSE,"Bill","Dickinson",104796,172962
"Bill Dickinson",1982,"Alabama","US House","2","gen",FALSE,"republican",FALSE,"Bill","Dickinson",83290,165194
"Bill Dickinson",1984,"Alabama","US House","2","gen",FALSE,"republican",FALSE,"Bill","Dickinson",118153,195815
"Bill Dickinson",1986,"Alabama","US House","2","gen",FALSE,"republican",FALSE,"Bill","Dickinson",115302,172870
"Bill Dickinson",1988,"Alabama","US House","2","gen",FALSE,"republican",FALSE,"Bill","Dickinson",120408,127861
"Bill Douglas",1982,"Iowa","US House","4","gen",FALSE,"socialist party of iowa",FALSE,"Bill","Douglas",584,179972
"Bill Driscoll",2012,"Washington","US House","6","gen",FALSE,"republican",FALSE,"Bill","Driscoll",129725,316386
"Bill Bull Durham",1996,"Tennessee","US House","1","gen",FALSE,"independent",FALSE,"Bill","Durham",885,181708
"Bill Durston",2006,"California","US House","3","gen",FALSE,"democrat",FALSE,"Bill","Durston",86318,228169
"Bill Durston",2008,"California","US House","3","gen",FALSE,"democrat",FALSE,"Bill","Durston",137971,314046
"Bill Earnest",1996,"Kansas","US House","1","gen",FALSE,"libertarian",FALSE,"Bill","Earnest",5298,261145
"Bill Emerson",1980,"Missouri","US House","10","gen",FALSE,"republican",FALSE,"Bill","Emerson",116167,210632
"Bill Emerson",1982,"Missouri","US House","8","gen",FALSE,"republican",FALSE,"Bill","Emerson",86493,162906
"Bill Emerson",1984,"Missouri","US House","8","gen",FALSE,"republican",FALSE,"Bill","Emerson",134186,205108
"Bill Emerson",1986,"Missouri","US House","8","gen",FALSE,"republican",FALSE,"Bill","Emerson",79142,150674
"Bill Emerson",1988,"Missouri","US House","8","gen",FALSE,"republican",FALSE,"Bill","Emerson",117601,202402
"Bill Emerson",1990,"Missouri","US House","8","gen",FALSE,"republican",FALSE,"Bill","Emerson",81452,142203
"Bill Emerson",1992,"Missouri","US House","8","gen",FALSE,"republican",FALSE,"Bill","Emerson",147398,234418
"Bill Emerson",1994,"Missouri","US House","8","gen",FALSE,"republican",FALSE,"Bill","Emerson",129320,185586
"Bill Lee Evans",1976,"Georgia","US House","8","gen",FALSE,"democrat",FALSE,"Bill","Evans",90559,130186
